"","V1","trialid","ppid","block","maxyr","onsettime","dn","ttlc.failure","rt","disengage_trialtime","world_x_disengaged","world_z_disengaged","world_x_onset","world_z_onset","peak_swa","peak_sr","disengaged","early.disengagement","ttlc.takeover","X","steeringbias_disengaged","failure.point","remove"
"601",1003,"2_2_6_1.5_D",2,2,6,1.5,"D",4.02,3,4,-0.0344105027616024,32.3087539672852,0.00873239524662495,12.3091945648193,33.8399988412857,1.43999889492989,1,FALSE,1.02,1012,-2.3055530208625,"Straight",FALSE
"602",1004,"2_2_6_1.5_N",2,2,6,1.5,"N",4.02,3.03333333333333,4.03333333333333,-0.0347399152815342,32.5815620422363,0.00881807319819927,12.3154726028442,27.6300010085106,2.34000004827976,1,FALSE,0.98666666666667,1013,-2.36302573663002,"Straight",FALSE
"603",1005,"2_2_6_11_D",2,2,6,11,"D",2.57,1.1,12.1,26.1263885498047,89.9875030517578,20.2861404418945,83.3884963989258,48.2400012016296,2.07000017166138,1,FALSE,1.47,1014,-12.0629195769213,"Bend exit",FALSE
"604",1006,"2_2_6_11_N",2,2,6,11,"N",2.57,1.1,12.1,26.1259288787842,89.9897079467773,20.2863006591797,83.3914337158203,42.5699990987778,1.35000005364418,1,FALSE,1.47,1015,-12.0648661172105,"Bend exit",FALSE
"605",1007,"2_2_6_5_D",2,2,6,5,"D",2,0.65,5.65,1.62315714359283,45.4219360351562,0.966297686100006,40.2629585266113,49.679998755455,3.42000022530556,1,FALSE,1.35,1016,-4.48500452876188,"Bend entry",FALSE
"606",1008,"2_2_6_5_N",2,2,6,5,"N",2,0.65,5.65,1.61861908435822,45.3192329406738,0.962217807769775,40.1593170166016,35.9099990129471,1.35000005364417,1,FALSE,1.35,1017,-4.45187632427882,"Bend entry",FALSE
"607",1009,"2_2_6_8_D",2,2,6,8,"D",1.9,1.08333333333333,9.08333333333333,10.8818197250366,71.0187683105469,7.24275827407837,63.1475830078125,73.1700021028519,3.33000004291534,1,FALSE,0.81666666666667,1018,-9.59031339825696,"Bend apex",FALSE
"608",1010,"2_2_6_8_N",2,2,6,8,"N",1.9,1.16666666666667,9.16666666666667,11.1876916885376,71.9919128417969,7.26619720458984,63.5182685852051,90,4.76999759674072,1,FALSE,0.73333333333333,1019,-9.97808686902824,"Bend apex",FALSE
"609",1011,"2_3_13_1.5_D",2,3,13,1.5,"D",3.23,2.333333,3.333333,0.03863494,26.92107,0.002461873,12.25493,45.27,1.620001,1,FALSE,0.896667,1020,-2.76960621430139,"Straight",FALSE
"610",1012,"2_3_13_1.5_N",2,3,13,1.5,"N",3.23,2.85,3.85,0.04888545,31.04482,0.002485649,12.24508,60.75,5.220003,1,FALSE,0.38,1021,-4.17860870085572,"Straight",FALSE
"611",1013,"2_3_13_11_D",2,3,13,11,"D",1.63,0.783329999999999,11.78333,43.36576,67.19255,37.09683,67.22124,68.22,3.419999,1,FALSE,0.84667,1022,-16.2175196719923,"Bend exit",FALSE
