"","V1","trialid","ppid","block","maxyr","onsettime","dn","ttlc.failure","rt","disengage_trialtime","world_x_disengaged","world_z_disengaged","world_x_onset","world_z_onset","peak_swa","peak_sr","disengaged","early.disengagement","ttlc.takeover","X","steeringbias_disengaged","failure.point","remove"
"78",196,"11_1_6_8_D",11,1,6,8,"D",1.9,0.699999999999999,8.7,9.59468364715576,68.2336959838867,7.24287033081055,63.1466102600098,54.6299993991852,1.79999828338623,1,FALSE,1.2,197,-8.85612970105921,"Bend apex",FALSE
"79",197,"11_1_6_8_N",11,1,6,8,"N",1.9,0.91666666666667,8.91666666666667,10.3207530975342,69.9277572631836,7.24986171722412,63.2571716308594,90,6.66000008583069,1,FALSE,0.98333333333333,198,-9.33599144644281,"Bend apex",FALSE
"80",200,"11_2_13_11_D",11,2,13,11,"D",1.63,0.83333,11.83333,43.76391,67.40582,37.0933,67.43597,80.28,5.85,1,FALSE,0.79667,201,-16.464174553757,"Bend exit",FALSE
"81",201,"11_2_13_11_N",11,2,13,11,"N",1.63,0.73333,11.73333,42.98006,67.19421,37.09659,67.22118,85.05,4.319998,1,FALSE,0.896669999999999,202,-16.1880326723787,"Bend exit",FALSE
"82",202,"11_2_13_5_D",11,2,13,5,"D",1.38,0.516667,5.516667,3.065765,43.96733,1.999931,39.97009,75.6,3.51,1,FALSE,0.863333,203,-8.36992673902654,"Bend entry",FALSE
"83",203,"11_2_13_5_N",11,2,13,5,"N",1.38,0.6,5.6,3.24863,44.58553,1.99942,39.95086,90,6.119996,1,FALSE,0.78,204,-8.63176798794699,"Bend entry",FALSE
"84",204,"11_2_13_8_N",11,2,13,8,"N",1.3,0.566667000000001,8.566667,18.36775,62.59947,14.79933,59.80405,90,5.129998,1,FALSE,0.733332999999999,205,-14.8313614901189,"Bend apex",FALSE
"85",215,"11_2_6_11_D",11,2,6,11,"D",2.57,1.1333333333333,12.1333333333333,26.2860679626465,90.0614776611328,20.2780704498291,83.2716598510742,58.6800009012222,3.60000193119049,1,FALSE,1.4366666666667,216,-12.0103923049262,"Bend exit",FALSE
"86",216,"11_2_6_11_N",11,2,6,11,"N",2.57,1.1,12.1,26.1054458618164,89.9341888427734,20.2812385559082,83.3308258056641,54.2699986696243,3.59999924898148,1,FALSE,1.47,217,-12.0374059493313,"Bend exit",FALSE
"87",217,"11_2_6_5_D",11,2,6,5,"D",2,1.16666666666667,6.16666666666667,2.14057302474976,49.4248580932617,0.962141215801239,40.1624755859375,68.6700010299683,4.14000302553176,1,FALSE,0.83333333333333,218,-5.5540482878484,"Bend entry",FALSE
"88",218,"11_2_6_5_N",11,2,6,5,"N",2,1.3,6.3,2.27212405204773,50.4113540649414,0.959637522697449,40.0899276733398,73.8899981975556,3.95999997854233,1,FALSE,0.7,219,-5.8420825515031,"Bend entry",FALSE
"89",219,"11_2_6_8_D",11,2,6,8,"D",1.9,0.66666666666667,8.66666666666667,9.50574111938477,68.3322906494141,7.26394414901733,63.487361907959,57.6899975538254,2.43000090122223,1,FALSE,1.23333333333333,220,-8.98688090873159,"Bend apex",FALSE
"90",220,"11_2_6_8_N",11,2,6,8,"N",1.9,0.85,8.85,10.1066255569458,69.4473648071289,7.25079345703125,63.2722816467285,76.4099979400635,4.86000180244446,1,FALSE,1.05,221,-9.20294536107802,"Bend apex",FALSE
"91",223,"11_3_13_11_D",11,3,13,11,"D",1.63,0.66667,11.66667,42.44796,67.1972,37.09719,67.22162,62.46,2.430001,1,FALSE,0.96333,224,-16.1512389164129,"Bend exit",FALSE
"92",224,"11_3_13_11_N",11,3,13,11,"N",1.63,0.783329999999999,11.78333,43.36497,67.31939,37.09519,67.34786,88.92,3.78,1,FALSE,0.84667,225,-16.343873935896,"Bend exit",FALSE
"93",225,"11_3_13_5_D",11,3,13,5,"D",1.38,0.816667,5.816667,3.702941,46.28868,1.999958,39.97131,90,4.770003,1,FALSE,0.563333,226,-9.42961974230398,"Bend entry",FALSE
"94",226,"11_3_13_5_N",11,3,13,5,"N",1.38,0.55,5.55,3.145942,44.22135,1.999783,39.96913,90,7.020001,1,FALSE,0.83,227,-8.47272312346643,"Bend entry",FALSE
"95",228,"11_3_13_8_N",11,3,13,8,"N",1.3,0.633333,8.633333,18.78702,62.96907,14.79863,59.84464,90,6.66,1,FALSE,0.666667,229,-15.0272804059569,"Bend apex",FALSE
"96",240,"11_3_6_11_N",11,3,6,11,"N",2.57,1.1833333333333,12.1833333333333,26.5500888824463,90.3006057739258,20.2708301544189,83.2029190063477,48.0599981546402,2.43000090122222,1,FALSE,1.3866666666667,241,-12.0103527132861,"Bend exit",FALSE
"97",241,"11_3_6_5_D",11,3,6,5,"D",2,0.91666666666667,5.91666666666667,1.88500332832336,47.3720359802246,0.95940774679184,40.0921974182129,69.9300009012222,5.75999557971954,1,FALSE,1.08333333333333,242,-4.97363652326975,"Bend entry",FALSE
"98",242,"11_3_6_5_N",11,3,6,5,"N",2,0.93333333333333,5.93333333333333,1.90656983852386,47.6091957092285,0.963885366916656,40.2019729614258,76.0500025749207,3.86999845504761,1,FALSE,1.06666666666667,243,-5.04553293361342,"Bend entry",FALSE
"99",243,"11_3_6_8_D",11,3,6,8,"D",1.9,0.983333333333331,8.98333333333333,10.5579624176025,70.5200347900391,7.25534868240356,63.379768371582,88.10999751091,4.13999497890472,1,FALSE,0.916666666666669,244,-9.52453199216472,"Bend apex",FALSE
"100",245,"11_4_13_11_N",11,4,13,11,"N",1.63,0.616669999999999,11.61667,42.03741,67.19778,37.09753,67.22043,62.28,2.970002,1,FALSE,1.01333,247,-16.1237510089179,"Bend exit",FALSE
"101",246,"11_4_13_5_D",11,4,13,5,"D",1.38,0.55,5.55,3.14636,44.20726,1.999983,39.95421,90,3.960003,1,FALSE,0.83,248,-8.46327446239868,"Bend entry",FALSE
"102",247,"11_4_13_5_N",11,4,13,5,"N",1.38,0.7,5.7,3.443612,45.40152,2,39.98783,90,4.950001,1,FALSE,0.68,249,-9.02397680672197,"Bend entry",FALSE
"103",248,"11_4_13_8_D",11,4,13,8,"D",1.3,0.550000000000001,8.55,18.26547,62.55442,14.79867,59.83849,90,8.460004,1,FALSE,0.749999999999999,250,-14.8264758847379,"Bend apex",FALSE
"104",249,"11_4_13_8_N",11,4,13,8,"N",1.3,0.550000000000001,8.55,18.26485,62.59197,14.79809,59.87605,90,5.85,1,FALSE,0.749999999999999,251,-14.8617009023007,"Bend apex",FALSE
"105",259,"11_4_6_11_D",11,4,6,11,"D",2.57,0.966666666666701,11.9666666666667,25.3972244262695,88.9770965576172,20.2700309753418,83.1814727783203,40.7700008153915,2.2500005364418,1,FALSE,1.6033333333333,261,-11.8055758663794,"Bend exit",FALSE
"106",260,"11_4_6_11_N",11,4,6,11,"N",2.57,1.6333333333333,12.6333333333333,28.9318180084229,92.9918823242188,20.2707138061523,83.2021636962891,51.7499989271164,8.45999836921693,1,FALSE,0.936666666666699,262,-12.4133001160481,"Bend exit",FALSE
"107",261,"11_4_6_5_D",11,4,6,5,"D",2,0.96666666666667,5.96666666666667,1.93521726131439,47.7637405395508,0.959346532821655,40.0884895324707,70.1099985837936,5.76000094413757,1,FALSE,1.03333333333333,263,-5.07918689364097,"Bend entry",FALSE
"108",262,"11_4_6_5_N",11,4,6,5,"N",2,1.28333333333333,6.28333333333333,2.26107931137085,50.4023132324219,0.964426457881928,40.2147827148438,90,4.77000027894974,1,FALSE,0.71666666666667,264,-5.84834797737924,"Bend entry",FALSE
"109",263,"11_4_6_8_D",11,4,6,8,"D",1.9,0.983333333333331,8.98333333333333,10.5329437255859,70.3114242553711,7.24380016326904,63.1648559570312,65.4299998283386,2.25000321865082,1,FALSE,0.916666666666669,265,-9.41219438141619,"Bend apex",FALSE
"110",264,"11_4_6_8_N",11,4,6,8,"N",1.9,0.65,8.65,9.43975162506104,68.0629425048828,7.25483274459839,63.3392791748047,82.6199984550476,3.86999845504761,1,FALSE,1.25,266,-8.87439768419768,"Bend apex",FALSE
"111",265,"12_1_13_5_D",12,1,13,5,"D",1.38,0.7,5.7,3.458441,45.38074,1.999826,39.96973,90,3.150002,1,FALSE,0.68,267,-8.99906694877955,"Bend entry",FALSE
"112",266,"12_1_13_5_N",12,1,13,5,"N",1.38,0.516667,5.516667,3.075098,44.12244,1.998533,40.12778,90,4.769998,1,FALSE,0.863333,268,-8.46278119620356,"Bend entry",FALSE
"113",267,"12_1_13_8_N",12,1,13,8,"N",1.3,0.550000000000001,8.55,18.30966,62.52505,14.85051,59.80437,90,3.869998,1,FALSE,0.749999999999999,269,-14.7830363860156,"Bend apex",FALSE
"114",274,"12_1_6_11_D",12,1,6,11,"D",2.57,1.3166666666667,12.3166666666667,27.2553215026856,91.1205825805664,20.2724742889404,83.228157043457,45.2700018882751,2.33999937772751,1,FALSE,1.2533333333333,276,-12.1456389684929,"Bend exit",FALSE
"115",275,"12_1_6_11_N",12,1,6,11,"N",2.57,1.65,12.65,29.0031299591064,93.106330871582,20.2708759307861,83.2034301757812,47.9699993133545,2.43000090122224,1,FALSE,0.919999999999999,277,-12.4505904156714,"Bend exit",FALSE
"116",276,"12_1_6_5_D",12,1,6,5,"D",2,0.68333333333333,5.68333333333333,1.65206003189087,45.5551452636719,0.961906313896179,40.1292457580566,39.4199994206429,2.88000047206879,1,FALSE,1.31666666666667,278,-4.50661866588736,"Bend entry",FALSE
"117",277,"12_1_6_5_N",12,1,6,5,"N",2,0.98333333333333,5.98333333333333,1.95395004749298,47.9337463378906,0.960944890975952,40.1263008117676,69.1200006008148,3.41999888420104,1,FALSE,1.01666666666667,279,-5.12848995872891,"Bend entry",FALSE
"118",278,"12_1_6_8_D",12,1,6,8,"D",1.9,1.05,9.05,10.7888059616089,71.0201950073242,7.25799894332886,63.3878402709961,68.4899979829788,3.24000120162965,1,FALSE,0.849999999999999,280,-9.66304822057664,"Bend apex",FALSE
"119",279,"12_1_6_8_N",12,1,6,8,"N",1.9,1.06666666666667,9.06666666666667,10.8122892379761,70.9025802612305,7.24293375015259,63.1469268798828,64.3499976396561,2.06999748945236,1,FALSE,0.83333333333333,281,-9.57008111771658,"Bend apex",FALSE
"120",282,"12_2_13_11_D",12,2,13,11,"D",1.63,0.633330000000001,11.63333,42.18964,67.19872,37.09706,67.22198,71.01,3.690001,1,FALSE,0.996669999999999,284,-16.1348289772073,"Bend exit",FALSE
"121",284,"12_2_13_5_D",12,2,13,5,"D",1.38,0.516667,5.516667,3.076243,44.18726,1.997936,40.18581,90,3.869998,1,FALSE,0.863333,286,-8.50394255168086,"Bend entry",FALSE
"122",286,"12_2_13_8_N",12,2,13,8,"N",1.3,0.566667000000001,8.566667,18.35813,62.57499,14.79874,59.76676,90,4.320001,1,FALSE,0.733332999999999,288,-14.8119903353191,"Bend apex",FALSE
"123",297,"12_2_6_11_D",12,2,6,11,"D",2.57,1.1833333333333,12.1833333333333,26.5344696044922,90.3069076538086,20.2709045410156,83.2036972045898,53.7300002574921,2.33999937772751,1,FALSE,1.3866666666667,299,-12.0255191918374,"Bend exit",FALSE
"124",298,"12_2_6_11_N",12,2,6,11,"N",2.57,1.4,12.4,27.6934680938721,91.5828552246094,20.2697124481201,83.1913604736328,61.9200021028519,7.38000154495241,1,FALSE,1.17,300,-12.1953493551942,"Bend exit",FALSE
"125",299,"12_2_6_5_D",12,2,6,5,"D",2,0.9,5.9,1.87345325946808,47.351634979248,0.963929653167725,40.2051200866699,61.7399990558624,2.2500005364418,1,FALSE,1.1,301,-4.97629054010454,"Bend entry",FALSE
"126",300,"12_2_6_5_N",12,2,6,5,"N",2,1.13333333333333,6.13333333333333,2.10720157623291,49.1630554199219,0.962462544441223,40.1654891967773,90,5.40000021457672,1,FALSE,0.86666666666667,302,-5.47806028202427,"Bend entry",FALSE
"127",301,"12_2_6_8_D",12,2,6,8,"D",1.9,1.25,9.25,11.4409666061401,72.2294235229492,7.24267578125,63.1487579345703,77.8500008583069,3.60000193119049,1,FALSE,0.65,303,-9.93767696605129,"Bend apex",FALSE
"128",302,"12_2_6_8_N",12,2,6,8,"N",1.9,0.949999999999999,8.95,10.4405097961426,70.0984344482422,7.24688529968262,63.1915817260742,73.7999993562699,2.07000017166138,1,FALSE,0.950000000000001,304,-9.34993952689247,"Bend apex",FALSE
"129",304,"12_3_13_11_D",12,3,13,11,"D",1.63,0.68333,11.68333,42.56648,67.20248,37.09574,67.22733,73.35,2.250001,1,FALSE,0.94667,306,-16.1650183984052,"Bend exit",FALSE
"130",305,"12_3_13_5_D",12,3,13,5,"D",1.38,0.55,5.55,3.146008,44.22179,1.999842,39.96955,90,4.500001,1,FALSE,0.83,307,-8.47295821603381,"Bend entry",FALSE
"131",314,"12_3_6_11_D",12,3,6,11,"D",2.57,0.9333333333333,11.9333333333333,25.220344543457,88.7980194091797,20.2701683044434,83.202522277832,57.5999987125397,2.07000017166138,1,FALSE,1.6366666666667,316,-11.7924851703584,"Bend exit",FALSE
"132",315,"12_3_6_11_N",12,3,6,11,"N",2.57,1.5166666666667,12.5166666666667,28.3262062072754,92.4403839111328,20.2854976654053,83.3550338745117,51.9300019741058,1.44000023603439,1,FALSE,1.0533333333333,317,-12.4087126249494,"Bend exit",FALSE
