trialid,ppid,block,maxyr,onsettime,dn,ttlc.failure,rt,disengage_trialtime,world_x_disengaged,world_z_disengaged,world_x_onset,world_z_onset,peak_swa,peak_sr,disengaged,ttlc.takeover,early.disengagement
43_2_4_6_3_D,43,4,6,3,D,3.76,1.9301429571853,4.9301429571853,0.491775989532471,39.8915519714356,0.00500074541196227,24.5692939758301,23.3100003004074,0.900000482797623,1,1.8298570428147,FALSE
43_2_4_6_3_N,43,4,6,3,N,3.76,1.93955078360824,4.93955078360824,0.500828146934509,40.0244560241699,0.00566091015934944,24.5685939788818,25.0199997425079,0.900000482797623,1,1.82044921639176,FALSE
43_2_5_20_11_D,43,5,20,11,D,2.03,0.792766716572901,11.7927667165729,46.428035736084,41.5406379699707,42.4635391235352,46.3994102478027,58.7699997425079,1.25999987125396,1,1.2372332834271,FALSE
43_2_5_20_11_N,43,5,20,11,N,2.03,0.794503272077501,11.7945032720775,46.428897857666,41.6298866271973,42.4639205932617,46.4894638061524,59.6699988842011,0.899999141693115,1,1.2354967279225,FALSE
43_2_5_20_3_D,43,5,20,3,D,2.33,0.84470460747144,3.84470460747144,0.618205428123474,31.2374095916748,0.172420293092728,24.5869045257568,63.0899977684021,1.16999968886375,1,1.48529539252856,FALSE
43_2_5_20_3_N,43,5,20,3,N,2.33,1.0270785540074,4.0270785540074,0.766130447387695,32.9762191772461,0.172926098108292,24.8658294677734,67.5,2.88000047206879,1,1.3029214459926,FALSE
43_2_5_6_11_D,43,5,6,11,D,4.12,1.6897047282123,12.6897047282123,29.6416072845459,93.5155258178711,20.4668483734131,83.6405944824219,25.8300000429153,0.539999753236774,1,2.4302952717877,FALSE
43_2_5_6_11_N,43,5,6,11,N,4.12,1.4344075245708,12.4344075245708,18.0095024108887,81.0787963867188,11.7417583465576,71.4713821411133,32.9399996995926,0.720001459121704,1,2.6855924754292,FALSE
43_2_5_6_3_D,43,5,6,3,D,3.76,1.92335973533602,4.92335973533602,0.4929279088974,39.8827896118164,0.0056222933344543,24.5586318969727,26.0999992489815,1.16999968886375,1,1.83664026466398,FALSE
43_2_5_6_3_N,43,5,6,3,N,3.76,2.34710101180846,5.34710101180846,0.711394131183624,43.2277641296387,0.00509049650281668,24.5718536376953,30.5099987983704,1.89000114798546,1,1.41289898819154,FALSE
43_2_6_20_11_D,43,6,20,11,D,2.03,0.6918620656347,11.6918620656347,45.9437828063965,42.5830001831055,42.4646606445313,46.8020095825195,62.5499993562699,0.989997982978821,1,1.3381379343653,FALSE
43_2_6_20_11_N,43,6,20,11,N,2.03,1.0501524353433,12.0501524353433,47.6091995239258,40.1320457458496,42.464485168457,46.60009765625,75.8699995279312,1.3500040769577,1,0.9798475646567,FALSE
43_2_6_20_3_D,43,6,20,3,D,2.33,0.85770900243895,3.85770900243895,0.630774259567261,31.397611618042,0.172470927238464,24.6144218444824,56.6999995708466,1.80000096559525,1,1.47229099756105,FALSE
43_2_6_20_3_N,43,6,20,3,N,2.33,0.90279243437733,3.90279243437733,0.669590294361115,31.7441749572754,0.172372072935104,24.5594787597656,51.3899981975555,2.52000108361244,1,1.42720756562267,FALSE
43_2_6_6_11_D,43,6,6,11,D,4.12,1.7484032020478,12.7484032020478,29.905252456665,93.7700576782227,20.4619102478027,83.6128997802734,25.8300000429153,0.539999753236771,1,2.3715967979522,FALSE
43_2_6_6_11_N,43,6,6,11,N,4.12,1.4426408442202,12.4426408442202,28.2389678955078,91.8899765014648,20.4521064758301,83.4707565307617,22.7699992060661,0.810000132769346,1,2.6773591557798,FALSE
43_2_6_6_3_D,43,6,6,3,D,3.76,1.77881239284248,4.77881239284248,0.418901145458221,38.5738067626953,0.00207760860212147,24.448055267334,20.5200000107288,0.720000118017197,1,1.98118760715752,FALSE
43_2_6_6_3_N,43,6,6,3,N,3.76,2.06781622032793,5.06781622032793,0.563632130622864,41.0401954650879,0.00383494468405843,24.5194683074951,26.3700011372566,1.17000102996826,1,1.69218377967207,FALSE
44_1_1_20_11_D,44,1,20,11,D,2.03,1.3292305351779,12.3292305351779,48.9148712158203,38.0735321044922,42.4640998840332,46.3944664001465,90,9.89999927580356,1,0.700769464822101,FALSE
44_1_1_20_11_N,44,1,20,11,N,2.03,0.668050968634001,11.668050968634,36.129207611084,51.9982795715332,31.09494972229,53.7721481323242,90,8.81999976933003,1,1.361949031366,FALSE
44_1_1_20_3_D,44,1,20,3,D,2.33,1.40657184228375,4.40657184228375,1.14109420776367,35.5785446166992,0.172135293483734,24.4240531921387,90,9.09000098705292,1,0.92342815771625,FALSE
44_1_1_20_3_N,44,1,20,3,N,2.33,1.66433212863444,4.66433212863444,1.44060480594635,37.8338623046875,0.172624707221985,24.7026195526123,90,6.21000319719315,1,0.66566787136556,FALSE
44_1_1_6_11_D,44,1,6,11,D,4.12,2.7468046501197,13.7468046501197,35.4721946716309,99.4982070922852,20.4623279571533,83.5827560424805,39.7800001502037,1.70999994501472,1,1.3731953498803,FALSE
44_1_1_6_11_N,44,1,6,11,N,4.12,2.6615858618879,13.6615858618879,34.9954223632813,98.9074020385742,20.4521961212158,83.4667205810547,32.1299993991852,0.450002253055576,1,1.4584141381121,FALSE
44_1_1_6_3_D,44,1,6,3,D,3.76,2.32800983802218,5.32800983802218,0.697030782699585,42.9841423034668,0.00236616632901132,24.4603729248047,54.8100024461746,1.43999990075827,1,1.43199016197782,FALSE
